,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"theta[1,29]",5.46370,0.00014,0.05343,5.35957,5.42776,5.46338,5.49916,5.56922,148785.65669,1.00001
"theta[2,29]",-0.00868,0.00002,0.00525,-0.02036,-0.01137,-0.00840,-0.00570,0.00152,110867.77233,1.00004
"theta[1,30]",5.50706,0.00014,0.06064,5.38842,5.46627,5.50692,5.54777,5.62606,195481.02664,1.00000
"theta[2,30]",-0.00872,0.00002,0.00574,-0.02157,-0.01148,-0.00839,-0.00558,0.00236,110310.49014,1.00000
"theta[1,31]",5.65770,0.00014,0.06473,5.53135,5.61418,5.65774,5.70135,5.78413,204529.34616,0.99999
"theta[2,31]",-0.00774,0.00002,0.00573,-0.01958,-0.01070,-0.00782,-0.00484,0.00437,118982.58572,0.99997
"theta[1,32]",5.53247,0.00015,0.06480,5.40527,5.48874,5.53256,5.57619,5.65992,195948.74474,0.99997
"theta[2,32]",-0.00836,0.00002,0.00575,-0.02095,-0.01118,-0.00817,-0.00532,0.00313,114729.27896,1.00001
"theta[1,33]",5.68026,0.00028,0.12134,5.44094,5.59912,5.68036,5.76162,5.91832,182950.52042,0.99999
"theta[2,33]",-0.00792,0.00002,0.00585,-0.02018,-0.01087,-0.00791,-0.00497,0.00436,118365.55660,0.99999
"theta[1,34]",6.01316,0.00017,0.05269,5.90318,5.97962,6.01553,6.04912,6.11021,97686.18537,1.00000
"theta[2,34]",-0.00531,0.00002,0.00435,-0.01267,-0.00829,-0.00582,-0.00276,0.00446,77383.84573,1.00004
lp__,408.42351,0.04990,7.92931,392.04000,403.25425,408.71817,413.90956,423.12901,25246.20565,1.00013
