,reaction_times,attempt,users,num_users,num_data,is_datum_child
226,278,8,24,34,316,0
227,310,9,24,34,316,0
228,282,10,24,34,316,0
229,275,11,24,34,316,0
230,372,12,24,34,316,0
231,295,13,24,34,316,0
232,306,14,24,34,316,0
233,303,15,24,34,316,0
234,285,16,24,34,316,0
235,316,17,24,34,316,0
236,294,18,24,34,316,0
237,284,19,24,34,316,0
238,324,20,24,34,316,0
239,264,1,25,34,316,0
240,278,2,25,34,316,0
241,369,3,25,34,316,0
242,254,4,25,34,316,0
243,306,5,25,34,316,0
244,237,6,25,34,316,0
245,439,7,25,34,316,0
246,287,8,25,34,316,0
247,285,9,25,34,316,0
248,261,10,25,34,316,0
249,299,11,25,34,316,0
250,311,12,25,34,316,0
251,265,13,25,34,316,0
252,292,1,26,34,316,0
253,282,2,26,34,316,0
254,271,3,26,34,316,0
255,268,4,26,34,316,0
256,270,5,26,34,316,0
257,259,1,27,34,316,0
258,269,2,27,34,316,0
259,249,3,27,34,316,0
260,261,4,27,34,316,0
261,425,5,27,34,316,0
262,291,1,28,34,316,1
263,291,2,28,34,316,1
264,441,3,28,34,316,1
265,222,4,28,34,316,1
266,347,5,28,34,316,1
267,244,6,28,34,316,1
268,232,7,28,34,316,1
269,272,8,28,34,316,1
270,264,9,28,34,316,1
271,190,1,29,34,316,0
272,219,2,29,34,316,0
273,317,3,29,34,316,0
274,232,4,29,34,316,0
275,256,5,29,34,316,0
276,185,6,29,34,316,0
277,210,7,29,34,316,0
278,213,8,29,34,316,0
279,202,9,29,34,316,0
280,226,10,29,34,316,0
281,250,1,30,34,316,0
282,238,2,30,34,316,0
283,252,3,30,34,316,0
284,233,4,30,34,316,0
285,221,5,30,34,316,0
286,220,6,30,34,316,0
287,287,1,31,34,316,0
288,267,2,31,34,316,0
289,264,3,31,34,316,0
290,273,4,31,34,316,0
291,304,5,31,34,316,0
292,294,1,32,34,316,0
293,236,2,32,34,316,0
294,200,3,32,34,316,0
295,219,4,32,34,316,0
296,276,5,32,34,316,0
297,287,1,33,34,316,0
298,365,1,34,34,316,0
299,438,2,34,34,316,0
300,420,3,34,34,316,0
301,396,4,34,34,316,0
302,359,5,34,34,316,0
303,405,6,34,34,316,0
304,397,7,34,34,316,0
305,383,8,34,34,316,0
306,360,9,34,34,316,0
307,387,10,34,34,316,0
308,429,11,34,34,316,0
309,358,12,34,34,316,0
310,459,13,34,34,316,0
311,371,14,34,34,316,0
312,368,15,34,34,316,0
313,452,16,34,34,316,0
314,358,17,34,34,316,0
315,371,18,34,34,316,0
